key,code,title,crn,no,total,schd,stat,isCancelled,meets,mpkey,instr,srcdb
227,ARCG 494,Senior Project Design Studio,13076,01,1,N,A,,HTBA,1,Staff,201803
236,ARCH 006,"Architectures of Urbanism: Thinking, Seeing, Writing the City",13623,01,1,L,A,,MW 11:35a-12:50p,2052,M. Schlabs,201803
248,ARCH 150,Introduction to Architecture,10516,01,1,H,A,,MWF 9:25-10:15a,2026,A. Purves,201803
249,ARCH 161,Introduction to Structures,10517,01,1,L,A,,TTh 9-10:15a,2033,Staff,201803
255,ARCH 250,Methods and Form in Architecture I,10518,01,1,N,A,,MW 1:30-3:20p,2119,Staff,201803
256,ARCH 260,History of Architecture I: Antiquity to the Baroque,10519,01,1,H,A,,TTh 10:30-11:20a,2019,K. Dugdale,201803
257,ARCH 271,Introduction to Islamic Architecture,11389,01,1,H,A,,MW 10:30-11:20a,2022,K. Rizvi,201803
268,ARCH 345,Civic Art: Introduction to Urban Design,10521,01,1,H,A,,W 9:30-11:10a,2120,A. Plattus,201803
269,ARCH 360,Urban Lab I: An Urban World,10522,01,1,N,A,,Th 10:30a-1:20p,3117,Staff,201803
270,ARCH 390,Making Spaces,13160,01,1,H,A,,TTh 1-2:15p,2035,J. Zinter,201803
275,ARCH 450,Senior Studio,10523,01,1,Y,A,,MW 1:30-3:20p,2119,T. Brooks,201803
276,ARCH 472L,Individual Tutorial Laboratory,13248,01,1,F,A,,HTBA,1,Staff,201803
277,ARCH 490,Senior Research Colloquium,10524,01,1,Y,A,,Th 11a-12:50p,5556,M. Caldeira,201803
284,ART 003,Blue,10527,01,1,L,C,1,HTBA,1,Staff,201803
285,ART 006,Art of the Printed Word,13914,01,1,L,A,,MW 1:30-3:20p,2119,R. Rose,201803
286,ART 011,New Voices in Photography,10529,01,1,L,A,,M 3:30-5:30p,2054,M. Leifheit,201803
287,ART 013,Temperamental Spaces,10530,01,1,L,A,,HTBA,1,Staff,201803
288,ART 014,Research in the Making,13301,01,1,L,A,,W 1:30-3:20p,2042,A. Craycroft,201803
289,ART 110,Sculpture Basics,10531,01,1,N,C,1,HTBA,1,Staff,201803
290,ART 111,Visual Thinking,10532,01,1,N,A,,TTh 10:30a-12:20p,2165,A. Valentine,201803
291,ART 114,Basic Drawing,10533,01,5,N,A,,MW 1:30-3:20p,2119,Staff,201803
292,ART 114,Basic Drawing,10534,02,5,N,A,,MW 3:30-5:20p,2101,A. Vossoughi,201803
293,ART 114,Basic Drawing,10535,03,5,N,A,,TTh 1:30-3:20p,2164,S. Naess,201803
294,ART 114,Basic Drawing,10536,04,5,N,A,,TTh 3:30-5:20p,2163,Staff,201803
295,ART 114,Basic Drawing,10537,05,5,N,C,1,HTBA,1,Staff,201803
296,ART 121,Introduction to Sculpture: Metal,10538,01,1,N,A,,W 1:30-5:20p,2188,B. Howard,201803
297,ART 130,Painting Basics,10539,01,2,N,A,,MW 1:30-3:20p,2119,R. Storr,201803
